WKT,CCTV,Lat,Long
"POINT (103.6073365 1.662617474)",KU01,1.662617474,103.6073365
"POINT (103.60356 1.66105)",KU02,1.66105,103.60356
"POINT (103.58784 1.65542)",KU03,1.65542,103.58784
"POINT (103.62334 1.64105)",KU04,1.64105,103.62334
"POINT (103.62061 1.64222)",KU05,1.64222,103.62061
"POINT (103.59425 1.65286)",KU06,1.65286,103.59425
"POINT (103.61014 1.6523)",KU07,1.6523,103.61014
"POINT (103.60617 1.65683)",KU08,1.65683,103.60617
"POINT (103.6068626 1.65867959)",KU09,1.65867959,103.6068626
"POINT (103.62512 1.63801)",KU10,1.63801,103.62512
"POINT (103.61799 1.63853)",KU11,1.63853,103.61799
"POINT (103.60701 1.65863)",KU12,1.65863,103.60701
"POINT (103.64491 1.60115)",KU13,1.60115,103.64491
"POINT (103.6585 1.61156)",KU14,1.61156,103.6585
"POINT (103.64739 1.60966)",KU15,1.60966,103.64739
"POINT (103.5822126 1.6692001)",KU16,1.6692001,103.5822126
"POINT (103.61031 1.64811)",KU17,1.64811,103.61031
